epoch,learning_rate,train_loss,train_task1_loss,train_task2_loss,train_task3_loss,val_validation_macro_f1,selection_score,patience_counter
1,0.0003,0.2741671622189315,0.40323035424208425,0.14585138338298745,,0.5816496869862056,0.5816496869862056,0
2,0.0002991810233575568,0.20472751617348103,0.32388968039299665,0.08591624441059016,,0.5898447527976755,0.5898447527976755,0
3,0.0002967330663097039,0.17239754641621338,0.2845422288185802,0.060048897207678975,,0.6228708439101343,0.6228708439101343,0
4,0.0002926829491861254,0.1517518857105456,0.250181943519292,0.05344845760697532,,0.6057147968803159,0.6057147968803159,1
5,0.00028707504591756876,0.12745364207345397,0.2158725146231209,0.03903958622556663,,0.622420188905524,0.622420188905524,2
6,0.00027997079786577355,0.11083455365329556,0.19025703772112354,0.03141671147959376,,0.6084033325822195,0.6084033325822195,3
7,0.0002714480406590546,0.09743817779567303,0.16570499843594294,0.02908504344815807,,0.6542336108801272,0.6542336108801272,0
8,0.0002616001514088704,0.08566522137935238,0.1482526216689907,0.02329783388155966,,0.6434733064052021,0.6434733064052021,1
9,0.0002505350256506492,0.07354668819355759,0.12740277423253824,0.019986094939116534,,0.641896964827234,0.641896964827234,2
10,0.00023837389521772463,0.06312351186099077,0.10918847076147552,0.016928845703082236,,0.6196383516170392,0.6196383516170392,3
11,0.00022524999999999992,0.055065829241576526,0.09578497813136966,0.0143745097762011,,0.6306575073697304,0.6306575073697304,4
12,0.0002113071281398321,0.04630144459953155,0.08072453573662888,0.012008481907126039,,0.6049502655561511,0.6049502655561511,5
13,0.00019669804065905458,0.03918160817154488,0.0689019494487899,0.009501432009173496,,0.6566657076438155,0.6566657076438155,0
14,0.00018158279777725494,0.034421458954365276,0.06020703237904925,0.008579023104541459,,0.6648576155752255,0.6648576155752255,0
15,0.00016612700525851415,0.030958786723829408,0.05402171407029802,0.00786068628581156,,0.6570700295262376,0.6570700295262376,1
16,0.0001505,0.02663038903879969,0.04654142480187816,0.0065500200696600374,,0.6183278556972333,0.6183278556972333,2
17,0.0001348729947414858,0.022267786430922018,0.040147210101718185,0.004353598086336621,,0.6397198096204425,0.6397198096204425,3
18,0.00011941720222274492,0.01927752846961154,0.033673197929493956,0.004817230812922043,,0.6484966425202299,0.6484966425202299,4
19,0.00010430195934094534,0.015743478013422706,0.027789764407033627,0.003706277323921093,,0.6375859284708248,0.6375859284708248,5
20,8.969287186016786e-05,0.011787686577520148,0.020863611045097933,0.0026961213401889934,,0.6231656910501493,0.6231656910501493,6
21,7.575000000000001e-05,0.012066917551589593,0.021315293121605215,0.0029248635490495313,,0.6478903645282221,0.6478903645282221,7
22,6.262610478227527e-05,0.011403433161882756,0.02000167602322921,0.00290136126900255,,0.6421028702757594,0.6421028702757594,8
23,5.046497434935074e-05,0.010280683850433353,0.018043761859370337,0.002488949750674749,,0.6266583999975095,0.6266583999975095,9
24,3.939984859112959e-05,0.009921547739325569,0.017212942517929247,0.002686042580509217,,0.6251308990628144,0.6251308990628144,10
25,2.9551959340945373e-05,0.009192594000710711,0.01621720973833877,0.0022469934342707614,,0.6286114786292307,0.6286114786292307,11
26,2.1029202134226415e-05,0.0070733717230525624,0.01269062227869519,0.0014672386469252996,,0.6287832086170744,0.6287832086170744,12
27,1.3924954082431155e-05,0.007434942602068778,0.01263691131108221,0.0022665456047767005,,0.6214718186053179,0.6214718186053179,13
28,8.317050813874547e-06,0.00691703560363342,0.012345399061057789,0.0015095857111776258,,0.6341350811513116,0.6341350811513116,14
29,4.26693369029605e-06,0.006004218603226539,0.010865379769691822,0.001142970575827292,,0.6323312364293489,0.6323312364293489,15
30,1.8189766424431266e-06,0.007178176068414774,0.012750218513830052,0.0015701916884257937,,0.6312072122261533,0.6312072122261533,16
